epoch,step,train_loss,val_loss
0,0,0.25915202498435974,
0,1,0.21953101456165314,
0,2,0.21062475442886353,
0,3,0.19962523877620697,
0,4,0.18703627586364746,
0,5,0.21218657493591309,
0,6,0.19655688107013702,
0,7,0.18997229635715485,
0,8,0.17465992271900177,
0,9,0.16705839335918427,
0,10,0.15565069019794464,
0,11,0.16150377690792084,
0,12,0.1665150374174118,
0,13,0.15882401168346405,
0,14,0.14455851912498474,
0,14,,0.15749119222164154
1,15,0.16778512299060822,
1,16,0.1441461443901062,
1,17,0.13873770833015442,
1,18,0.14414231479167938,
1,19,0.13122539222240448,
1,20,0.14194256067276,
1,21,0.12314176559448242,
1,22,0.13258253037929535,
1,23,0.12401027232408524,
1,24,0.1468331217765808,
1,25,0.09964299947023392,
1,26,0.11874522268772125,
1,27,0.12578034400939941,
1,28,0.10898784548044205,
1,29,0.10947659611701965,
1,29,,0.11442987620830536
2,30,0.10762818902730942,
2,31,0.11556042730808258,
2,32,0.11357508599758148,
2,33,0.10545129328966141,
2,34,0.09387246519327164,
2,35,0.10070835053920746,
2,36,0.10334334522485733,
2,37,0.10335832089185715,
2,38,0.08801189810037613,
2,39,0.09270407259464264,
2,40,0.09857389330863953,
2,41,0.07632073760032654,
2,42,0.08699272572994232,
2,43,0.09206318855285645,
2,44,0.10162702947854996,
2,44,,0.08821728825569153
3,45,0.08144506067037582,
3,46,0.08003593981266022,
3,47,0.08611421287059784,
3,48,0.089604951441288,
3,49,0.08492740243673325,
3,50,0.08293238282203674,
3,51,0.08573871105909348,
3,52,0.07592487335205078,
3,53,0.0665598213672638,
3,54,0.0714225247502327,
3,55,0.07322274148464203,
3,56,0.07737049460411072,
3,57,0.06737545132637024,
3,58,0.07641589641571045,
3,59,0.070586659014225,
3,59,,0.07128866761922836
4,60,0.07295916974544525,
4,61,0.06644810736179352,
4,62,0.06308786571025848,
4,63,0.06762263923883438,
4,64,0.06769399344921112,
4,65,0.058141034096479416,
4,66,0.07274779677391052,
4,67,0.0662386566400528,
4,68,0.06124265491962433,
4,69,0.06519068777561188,
4,70,0.06243846192955971,
4,71,0.06391534209251404,
4,72,0.062041494995355606,
4,73,0.06180662661790848,
4,74,0.061298858374357224,
4,74,,0.059657979756593704
5,75,0.0620708130300045,
5,76,0.05579504743218422,
5,77,0.06722583621740341,
5,78,0.06495527178049088,
5,79,0.04733804613351822,
5,80,0.06582052260637283,
5,81,0.0516575463116169,
5,82,0.054932355880737305,
5,83,0.05837950482964516,
5,84,0.04919569566845894,
5,85,0.04673653095960617,
5,86,0.05871869996190071,
5,87,0.044302958995103836,
5,88,0.05328749492764473,
5,89,0.054138850420713425,
5,89,,0.05140483379364014
6,90,0.050141070038080215,
6,91,0.05574258044362068,
6,92,0.047722190618515015,
6,93,0.0468146875500679,
6,94,0.051912572234869,
6,95,0.046052463352680206,
6,96,0.051300931721925735,
6,97,0.06053928658366203,
6,98,0.045229390263557434,
6,99,0.04032375290989876,
6,100,0.045715220272541046,
6,101,0.04588402807712555,
6,102,0.05111737921833992,
6,103,0.054490018635988235,
6,104,0.04132448136806488,
6,104,,0.045360274612903595
7,105,0.05470903590321541,
7,106,0.048469990491867065,
7,107,0.045959848910570145,
7,108,0.04504457488656044,
7,109,0.04504155367612839,
7,110,0.041557710617780685,
7,111,0.043727558106184006,
7,112,0.04628711938858032,
7,113,0.04314068332314491,
7,114,0.043342944234609604,
7,115,0.03817825764417648,
7,116,0.042761772871017456,
7,117,0.041218969970941544,
7,118,0.046625904738903046,
7,119,0.03555722162127495,
7,119,,0.04081705957651138
8,120,0.038575850427150726,
8,121,0.0349714495241642,
8,122,0.04557163268327713,
8,123,0.04066172242164612,
8,124,0.04648570343852043,
8,125,0.03363540768623352,
8,126,0.04680940881371498,
8,127,0.036176618188619614,
